age_without_unit,value
356.66,19.7
356.69,18.57
356.9,17.87
356.92,20.07
357.09,18.88
357.22,17.11
357.27,19.67
357.45,18.72
357.53,16.86
357.54,17.12
357.6,19.54
357.63,17.48
357.64,20.82
357.68,19.65
357.73,17.6
357.73,18.13
357.76,19.82
357.77,20.4
357.8,19.3
357.8,20.22
357.81,17.59
357.82,19.76
357.84,19.69
357.85,19.2
357.87,18.02
357.87,19.2
357.89,18.59
357.91,19.23
357.93,19.35
357.93,19.33
357.94,19.49
358,19.13
358.04,20.44
358.08,18.66
358.12,19.18
358.12,16.66
358.12,19.32
358.14,19.68
358.18,19.2
358.22,19.04
358.22,18.56
358.23,18.62
358.3,19.92
358.3,19.49
358.3,19.07
358.33,19.85
358.37,19.42
358.4,19.31
358.43,19.42
358.48,19.39
358.5,19.08
358.5,19.87
358.51,18.73
358.68,19.92
358.73,18.96
358.74,19.85
358.79,19.2
358.95,19.76
359.12,19.22
359.29,19.29
359.45,19.7
359.95,18.74
360.33,19.25
360.37,19.3
308.4,17.04
308.44,18.37
308.45,18.8
308.47,19.34
308.48,19.2
308.5,18.93
308.5,18.95
308.5,19.38
308.5,19.49
308.5,19.88
308.5,21.03
308.5,22.86
308.53,18.59
308.53,18.17
308.56,18.52
308.59,18.89
388.98,18.3
389.18,18.7
389.22,19.27
389.25,19.31
389.31,18.7
389.48,17.88
389.6,18.41
389.65,18.55
389.76,18.41
389.95,18.5
389.96,18.39
389.96,18.3
390.34,19.53
390.53,18.37
390.72,18.09
390.73,19.7
390.78,19.6
390.82,19.7
390.82,18.85
390.87,19.67
390.96,19.26
390.99,18.59
391.03,19.22
391.03,18.8
391.1,19.88
391.11,18.9
391.16,18.72
391.24,19.1
391.24,20.03
391.24,19.21
391.26,19.17
391.29,18.7
391.31,20.42
391.35,18.88
391.37,18.66
391.42,19.3
391.48,18.7
391.51,19.21
391.6,18.85
391.64,20
391.66,20.1
391.75,18.4
391.78,20.1
391.84,18.25
391.95,19.8
392.01,20.2
392.05,20.1
392.2,19.6
392.47,19.66
392.86,19.81
393.06,19.5
393.25,20.1
393.82,18.43
394.57,18.4
395.17,18.59
396.06,18.01
396.81,17.85
397.55,18.65
398.22,18.95
374.45,18.5
299.42,19.5
299.42,19.9
299.42,20.2
299.42,20.5
299.42,20.6
299.42,21
299.97,20
299.97,20.5
301.06,20.1
301.06,20.4
301.06,20.7
301.06,20.9
301.06,20.3
301.06,21.2
301.06,21.9
301.06,19.6
301.06,19.8
301.06,19.9
301.06,20.5
301.06,20.6
301.06,20.8
301.06,21
301.06,21.1
301.06,20.2
301.06,21.4
301.06,21.6
301.06,19.7
301.06,21.5
301.06,20
301.06,21.8
301.6,19.9
301.6,20.8
301.6,21.2
301.6,21.3
301.82,21
301.82,19.9
302.15,19.7
302.15,20.3
302.15,19.8
302.15,21
302.15,20.8
302.15,21.2
302.15,21.3
302.15,21.7
302.15,20.9
302.15,21.1
302.69,20.5
302.69,20.6
302.69,21
302.69,21.2
302.69,22.2
302.96,21
303.23,20.7
303.23,20
303.23,20.9
303.23,21.1
303.23,21.5
304.19,21
304.19,21.2
304.19,20
304.63,19.9
304.63,21.3
304.63,21.8
304.81,18.9
304.81,20.1
304.98,20
304.98,19.8
304.98,20.9
305.94,21.1
305.94,20.6
306.99,20.1
306.99,20.4
308.5,20.3
310.38,20
310.38,20.4
310.38,20.6
310.38,21.2
311.32,19.4
311.32,20
311.32,20.6
311.32,20.8
311.32,20.9
313.2,19.7
313.2,20.7
313.2,21.2
313.2,21.4
358.89,18.55
359.1,17.88
359.19,19.09
359.37,18.95
359.44,19.56
359.53,19.38
359.57,17.4
359.68,19.39
360.42,18.83
360.57,18.97
360.72,19.05
360.87,19.56
360.97,18.75
361.14,18.66
361.7,18.01
361.77,18.67
361.84,18.21
362.02,18.04
362.04,18.09
362.15,18.17
362.32,17.7
362.77,17.8
362.79,19.79
362.89,19.61
362.95,18.06
363.1,18.08
363.28,18.2
363.38,20.28
363.43,18.09
363.65,18.32
363.7,18.48
363.76,18.14
363.8,18.28
363.87,19.14
363.88,18.24
363.9,19.6
363.94,18.17
364,17.93
364.15,18.29
364.26,18.65
364.29,19.54
364.42,18.51
364.57,19.54
364.59,18.57
364.68,18.87
364.73,19.69
364.81,19.35
364.83,17.1
364.89,18.64
364.95,19.27
365.02,19.6
365.04,18.2
365.26,17.9
365.32,17.35
365.37,17.4
365.39,18.62
365.6,18
365.6,17.7
365.6,19.19
365.76,19.38
365.82,18.28
365.93,18
365.97,19.54
366.04,18.5
366.06,17.9
366.11,18
366.16,18.28
366.18,18.93
366.19,18
366.25,17.69
366.34,18.63
366.36,19.49
366.36,17.67
366.41,17.7
366.43,17.66
366.49,18.48
366.49,17.85
366.55,17.97
366.56,18.37
366.61,18.15
366.63,19.49
366.64,18
366.66,18.85
366.66,17.65
366.76,18.89
366.84,17.94
366.88,17.79
367.06,18.32
367.09,18.63
367.13,17.97
367.22,17.93
367.22,17.4
367.35,17.77
367.4,17.92
367.42,17.5
367.54,17.91
367.65,18.2
367.78,17.73
367.8,17.86
367.88,18.16
367.91,18.13
367.97,17.98
368.04,17.6
368.17,17.86
368.23,17.14
368.46,17.89
368.77,17.8
368.78,17.76
368.86,18
369.03,17
369.1,17.6
369.16,18.05
369.24,18.42
369.49,17.7
369.52,17.73
369.59,17.86
369.79,17
369.81,18.36
369.88,17.68
369.95,18.24
369.95,17.08
370.01,17.43
370.04,18.49
370.04,17.99
370.12,17.7
370.14,17.29
370.16,18.47
370.21,17.97
370.23,16.92
370.34,18.07
370.34,17.69
370.45,18.37
370.45,18.7
370.58,18.67
370.62,17.63
370.63,18.7
370.69,17.8
370.74,18.36
370.81,18.05
370.87,18.09
370.9,18.8
370.93,17.2
371.06,18.99
371.08,18.26
371.08,17.66
371.1,17.23
371.13,18.54
371.2,18.1
371.27,17.7
371.3,17.42
371.37,17.3
371.37,18.2
371.41,17.43
371.44,17.8
371.46,17.2
371.48,17.1
371.49,17.78
371.5,18.45
371.52,17.4
371.57,17.65
371.59,18.1
371.71,18.84
371.73,18.1
371.78,18.91
371.86,18.9
371.88,18.5
371.89,17.97
371.93,19
371.95,18.27
371.97,18.53
372.01,18.69
372.02,17.81
372.07,17.86
372.08,18.03
372.08,18.9
372.11,17.15
372.16,17.33
372.2,18.4
372.21,17.69
372.24,18.43
372.24,18
372.24,18.2
372.26,18.5
372.34,17.6
372.38,17.47
372.38,17.89
372.42,18.86
372.43,17.22
372.59,17.45
372.74,16.89
372.75,18.52
372.8,18.3
372.8,17.57
372.82,18.3
372.94,17.41
372.98,17.38
372.98,17.4
372.98,17.6
373,17.51
373.15,18.07
373.19,18.28
373.19,18.36
373.19,17.68
373.34,18
373.35,17.6
373.38,17.3
373.38,17.88
373.4,17.3
373.44,17.7
373.44,17.49
373.46,18.1
373.61,19.04
373.62,18.49
373.65,17.83
373.65,16.7
373.68,17.53
373.78,18.2
373.84,18.15
373.87,18.43
373.87,18.27
373.88,18.42
373.92,18.64
373.97,17.39
373.99,18.5
374.03,18.1
374.05,18.5
374.07,17.55
374.07,18.2
374.1,17.99
374.13,16.9
374.16,17
374.21,18.03
374.22,18.7
374.26,17.8
374.26,18.55
374.26,18.72
374.29,17.29
374.33,18.3
374.34,18.9
374.36,18.07
374.4,17.4
374.4,18.14
374.43,18.63
374.43,18.39
374.44,17.5
374.45,17.8
374.46,18.5
374.46,17.83
374.48,18
374.49,18.2
374.5,18.1
374.52,18.4
374.54,20.44
374.55,18.34
374.6,18.2
374.63,18.11
374.63,17.9
374.72,17.64
374.76,17.82
374.82,18.2
374.83,18.29
374.84,18.07
374.97,17.95
374.98,18
374.99,18.9
375.14,18.12
375.18,17.8
375.19,18.32
375.27,18.8
375.32,18.46
375.38,18.7
375.42,17.6
375.42,17.6
375.51,18.4
376.2,18.8
378.83,19
378.88,20.2
378.91,19.2
379.09,20.1
380.89,20.6
380.95,19
381.01,19.33
381.13,19.24
381.13,19.28
381.35,19.09
381.56,19.8
381.73,19.13
381.77,19.58
381.8,18.6
381.84,19.4
381.86,20.14
381.96,20.29
381.96,19.96
382.05,20.16
382.09,19.43
382.16,19.6
382.18,20.59
382.21,19.61
382.34,20.23
382.47,20.08
382.52,19.3
382.56,20.15
382.62,19.92
382.71,19
382.74,19.4
382.75,19.85
382.77,20.19
382.77,19.2
382.8,19.83
382.84,19.83
382.86,19.6
382.87,19.3
382.89,19.74
382.91,19.94
383.02,20.04
383.08,19.85
383.09,19.86
383.12,20.04
383.15,18.6
383.16,20.19
383.19,20.06
383.22,20.5
383.24,18.1
383.24,19.9
383.25,20.6
383.3,18
383.32,20.52
383.35,20.15
383.4,19.81
383.4,18.8
383.41,17.9
383.42,19.95
383.43,19.99
383.44,18.9
383.45,18.6
383.47,18.8
383.48,18.4
383.49,18.2
383.49,18
383.51,18.1
383.52,18
383.52,17.9
383.53,17.7
383.55,19.2
383.56,20.13
383.67,20.52
383.99,20.85
384.01,20.62
384.02,20.68
384.18,20.27
384.22,20.43
384.33,20.59
384.34,19.4
384.42,20.68
384.43,21
384.48,20.54
384.52,20.79
384.62,21.17
386.1,19.4
386.33,19.6
386.41,19.5
386.69,18.9
386.99,19.58
386.99,19.74
387.02,19.32
387.15,20.38
387.16,19.66
387.25,19.5
387.25,18.53
387.26,19.67
387.27,19.76
387.29,19.99
387.63,19.6
388.49,19.86
389.61,20.17
389.76,19.71
390.67,18.65
390.93,19.48
391.09,20.26
391.1,19.8
391.11,18.92
391.33,19.74
391.37,19.39
391.44,20.7
391.54,19.26
391.57,20.03
391.85,19.09
391.92,19.45
391.99,20.2
392.17,18.3
392.22,19.83
392.49,20.11
392.52,17.79
392.54,20.19
392.7,20.65
392.85,20.01
392.9,18.77
393.05,19.49
393.09,19.82
393.17,20.57
393.18,19.39
393.31,18.12
393.46,19.16
393.6,20.13
393.6,19.33
393.61,17.92
393.73,20.02
393.91,18.1
394,19.65
394.14,20.05
394.23,19.66
394.56,19.94
394.59,19.56
394.64,19.99
394.76,20.47
394.85,19.62
395.12,19.47
395.32,19.93
395.66,20.01
395.95,20.37
395.98,18.82
396.07,20.28
396.99,20.51
397.14,20.73
397.24,20.39
397.71,20.5
397.89,20.07
398.03,19.97
398.39,20.76
398.71,18.94
398.84,20.42
399.46,20.86
400.11,19.39
400.43,19.74
401.18,18.46
402.97,16.69
403,17.48
403.02,17.64
403.03,18.24
403.05,18.19
403.12,18.06
405.01,18.41
405.01,18.45
405.49,18.04
405.55,19.04
405.69,19.1
405.7,19.12
406.44,19.1
406.51,19.26
406.59,19.06
407.31,19.2
407.39,19.1
408.63,18.88
408.66,18.7
409.01,18.07
409.31,18.98
409.43,18.01
409.44,18.87
409.45,19.05
409.46,18.66
409.49,18.79
409.5,19.09
409.53,19.47
409.53,18.92
409.55,19.08
409.56,18.06
409.56,19.08
409.58,18.91
409.6,18.57
409.63,18.69
409.64,18.88
409.64,18.28
409.65,18.78
409.66,18.89
409.66,18.25
409.69,18.47
409.7,18.38
409.73,18.61
409.73,18.34
409.75,18.79
409.76,18.57
409.78,18.94
409.81,18.13
409.86,17.48
409.94,17.91
409.96,17.9
410.19,17.09
410.29,17.54
410.43,17.6
410.7,17.88
410.72,18.22
410.78,15.21
410.83,18.01
410.89,17.02
411.52,17.48
411.74,16.69
411.97,18.03
412.08,17.55
412.5,18.02
413.04,17.72
413.62,17.87
413.66,16.79
413.71,17.47
413.78,17.5
413.78,17.57
413.83,17.13
413.92,17.46
413.94,17.34
413.96,17.16
413.96,17.58
414.1,17.55
414.22,16.34
414.25,16.8
414.29,16.92
414.32,16.18
414.32,17.83
414.34,16.73
414.53,17.45
414.85,17.84
414.88,17.62
415.59,17.86
415.69,18.17
415.71,18.3
415.81,17.91
415.87,17.72
415.87,17.78
415.88,17.96
415.92,17.87
415.92,17.92
416.29,17.4
416.31,17.73
352.62,18.83
353.49,18.47
353.49,18.58
355.25,18.85
357.89,18.43
358.41,18.98
358.68,18.75
358.76,18.58
358.76,18.42
358.76,18.52
358.85,18.94
359.03,18.86
359.11,19.12
359.2,19.16
360.24,18.45
360.42,18.2
360.5,19.25
360.68,18.87
360.77,18.56
360.85,18.81
360.94,19.39
360.94,18.38
361.03,19.47
361.11,18.63
361.2,18.91
361.37,19.2
361.37,18.37
361.46,19.1
361.46,19.39
361.81,18.59
362.24,18
251.7,18.5
251.8,17.58
252.38,19.4
252.41,19.16
252.43,19.01
252.44,19.7
252.45,18.42
252.51,19.1
252.57,19.48
252.7,19.56
252.89,19.32
253.62,19.5
254.29,19.9
254.43,19.65
254.72,18.59
255.55,19.3
256.81,19.8
257.14,20.36
259.03,19.75
302.15,17.7
302.15,18.4
302.15,18
302.15,17.9
302.15,18.6
302.15,17.6
302.15,18.8
302.15,18.5
302.15,17.1
303.23,17.5
305.07,18.9
306.82,18.3
312.26,18.2
331.25,17.9
342.38,18.4
352.62,16.8
352.62,17.7
352.62,17.1
352.62,17.9
354.37,16.5
369.2,14.8
369.2,15.6
374.66,16.1
384.78,16.5
449.29,17.9
449.29,21.8
462.19,17.7
462.19,17.4
462.19,17.5
462.19,16.9
467.91,16.3
478.82,15.1
241.5,20.7
241.5,19.9
424.26,19.1
424.26,19.3
424.26,19.4
424.26,19
424.26,19.2
425.27,17.7
425.27,17.9
425.27,18
426.91,18.7
427.92,18.5
429.33,18.9
430.88,18
430.88,18.6
430.88,18.7
430.88,18.9
430.88,18.4
430.88,18.5
432.34,18.6
434.54,17.5
434.54,17.9
434.54,16.9
252.15,20.3
252.18,21.2
252.19,20.1
252.19,21.9
252.22,20
252.23,21.4
252.25,21.6
252.29,21.9
252.31,20.1
252.32,20.5
252.35,21.2
252.36,20.9
252.38,20.9
252.41,20.1
252.42,20.5
252.44,21.6
252.54,20.6
252.58,20.4
252.59,21.9
252.6,21.8
252.65,20.3
252.69,19.9
252.71,22.3
252.84,20.1
252.89,20.4
252.98,20.2
253.03,20
253.05,20.7
253.09,20.3
253.1,21.6
253.13,20.6
253.17,21.4
253.2,21.3
253.23,20.1
253.29,22
253.31,19.9
253.35,21.8
253.35,21.3
253.49,19.8
253.56,21.5
253.64,21.3
253.66,19.9
253.69,20.9
253.72,19.8
253.75,22.1
253.78,21.5
253.8,20.3
253.86,22
253.87,21.3
253.88,22
253.89,21.4
253.9,20.9
253.91,20.9
253.92,21.2
253.92,20.7
253.93,20.9
253.95,19.7
253.96,21.1
254,21.2
254.01,21.6
254.02,20.9
254.05,20.4
254.08,20.6
254.09,21.4
254.1,20.9
254.11,21
254.14,19.8
254.14,20.6
254.3,20.1
254.3,21.6
254.46,20.3
254.5,21.6
254.52,21.9
254.6,22
254.74,21.1
254.74,20.4
254.9,20.5
255.31,20.2
255.39,19.5
255.62,20.8
255.62,20.6
255.71,20.8
255.85,21.1
255.85,20.3
255.94,20.4
256,20.8
256.1,20.9
256.21,20
256.29,21.1
256.3,19.8
256.35,19.2
256.43,19.9
256.52,19.8
256.57,20.8
256.64,20
256.7,19.8
256.7,20
256.75,20.2
256.86,19.8
256.92,20.4
256.93,19.8
256.97,19.8
257.06,19.5
257.15,20.7
257.26,19.5
257.38,20.5
257.39,20.1
257.41,19.8
257.5,19.5
257.65,19.9
257.65,20.3
257.77,20.3
257.93,20
257.93,20.2
257.93,20.5
257.99,20.3
258.08,20
258.1,20
258.16,19.9
258.17,18.9
258.18,20.4
258.24,20.4
258.33,18.6
258.45,19.6
258.5,19.3
258.5,20.3
258.51,20
258.54,18.9
258.56,19.7
258.6,19.7
258.65,20
258.66,19.1
258.81,19.5
258.9,18.7
259,19.7
259.01,19.1
259.01,20.7
259.09,20.6
259.15,19.6
259.15,20.4
259.21,20.1
259.26,20.4
259.26,20.8
259.3,20
259.35,21.2
259.4,20.3
259.43,20.7
259.45,19.8
259.48,21.5
259.52,20.4
259.54,20.3
259.58,21.8
259.59,20.5
259.6,21.1
259.63,20.8
259.64,20.9
259.7,19.9
259.72,21
259.72,21
259.73,21.1
259.73,20.5
259.74,19.9
259.77,20.6
259.77,20.6
259.77,20.9
259.78,20.6
259.78,20.1
259.8,20.7
259.9,20.3
260.2,19.8
260.2,20.1
260.2,20.3
260.2,19.9
260.4,20.1
260.6,19
260.6,19.1
260.6,19.7
260.6,20.2
260.6,20
260.6,20.3
260.6,19.6
260.6,20.1
260.77,20.3
260.78,19.9
260.82,19.1
260.97,20.5
260.97,20.3
261.05,19.9
261.11,20.3
261.2,20.1
261.35,20.2
262.03,21.9
262.16,20.9
262.2,20.8
262.22,21.4
262.4,20.9
263.2,21.3
263.3,19.2
263.73,20.9
263.87,20.9
264.16,20.6
264.45,20.8
264.61,21.5
264.68,20.7
264.78,21.8
264.86,21.4
264.95,21.3
265.08,20.3
265.09,20.8
265.43,20.5
265.54,20.7
265.54,20.5
265.75,20.8
265.83,21.5
265.86,21.4
266.03,21.9
266.1,20.2
266.22,21.8
266.24,21.6
266.34,21.2
266.36,22
266.36,21.6
266.37,21.4
266.38,20.9
266.4,21.8
266.43,21.4
267.12,20.6
267.61,20.8
269.64,20.7
270.11,21.7
270.22,21
270.26,21.1
270.28,21.3
270.53,21.5
270.53,21.2
272.3,21
272.34,21.1
272.38,21.9
273.25,22
274.07,20.9
274.16,22
274.72,21.5
275,22.1
275.27,22
275.68,21.9
275.81,21.9
275.81,21.7
275.81,22.2
275.82,22.7
276.05,22.1
276.83,21.7
277.37,22.2
279.13,22
279.22,21.4
279.3,21.4
279.4,21.9
281.04,21.9
283.35,22.7
285.48,21.9
285.48,22.3
285.48,21.6
287.96,21.6
290,22.2
291,22.8
291.01,22
291.38,22.2
291.99,22.7
292.1,21.9
292.44,21
293,22.1
293,22.6
293.86,22.6
293.86,22.4
294.04,22.7
294.14,23
294.37,22.5
294.63,22.8
295.05,22
295.08,22.3
295.4,20.3
296,22.4
296.34,22.6
296.57,22.3
296.62,22.3
296.77,21.2
296.8,22.4
297,22.2
297.15,22.2
297.17,22.8
297.57,23
297.58,22.5
297.78,22.9
298.17,22.1
298.3,22.5
298.63,21.9
298.82,21.2
298.83,22.4
298.9,22.9
299.05,21.9
299.23,22.3
299.43,21.8
299.43,21.5
250.91,17.68
251.23,17.79
251.41,18.18
251.57,18.71
251.72,18.22
251.74,18.16
251.78,17.83
251.78,17.63
251.79,18.66
251.81,18.27
251.82,18.59
251.82,17.88
251.83,17.75
251.83,18.77
251.84,19.05
251.85,19.47
251.85,19.19
251.85,18.91
251.86,18.57
251.86,17.37
251.86,17.73
251.87,18.76
251.87,17.88
251.87,18.84
251.87,18.65
251.88,18.62
251.88,17.19
251.88,17.02
251.88,17.62
251.88,17.9
251.88,17.26
251.88,18.94
251.89,17.44
251.89,17.97
251.89,17.47
251.89,19.4
251.89,18.54
251.89,18.64
251.89,18.39
251.89,17.48
251.89,17.88
251.89,17.62
251.9,18.37
251.9,17.76
251.9,18.72
251.9,18.46
251.9,18.63
251.9,17.27
251.9,18.65
251.9,18.84
251.9,17.45
251.9,17.18
251.9,18.64
251.9,18.74
251.9,18.23
251.9,17.66
251.9,17.35
251.9,17.06
251.91,18.17
251.91,17.95
251.91,19.31
251.91,18.73
251.91,18.92
251.91,18.18
251.92,18.81
251.92,17.62
251.92,19.44
251.92,18.64
251.92,18.41
251.92,17.93
251.92,17.24
251.92,18.4
251.92,18.13
251.92,19.17
251.92,17.88
251.93,18.8
251.93,18.7
251.93,20.09
251.94,19.41
251.94,18.7
251.94,19.4
251.94,19.28
251.94,18.53
251.94,19.31
251.94,21
251.94,21.12
251.94,20.86
251.94,18.76
251.94,18.34
251.94,21.12
251.95,18.57
251.95,18.57
251.95,19.19
251.95,18.41
251.95,19.12
251.95,19.22
251.95,19.25
251.95,19.59
251.95,21.02
251.95,20.78
251.96,21.13
251.96,20.79
251.96,19.53
251.96,19.54
251.96,20.9
251.96,21.13
251.96,21.24
251.96,21.28
251.97,20.7
251.97,20.59
251.97,20.6
251.97,20.63
251.97,20.79
251.97,20.81
251.97,18.93
251.97,18.65
251.97,20.04
251.97,19.66
251.97,19.54
251.97,19.97
251.98,19.4
251.98,19.65
251.98,20.71
251.98,19.11
251.98,19.44
251.98,21.37
251.99,19.45
251.99,21.09
252,19.76
252,19.93
252,19.48
252,20.67
252,19.83
252,21.54
252,20.83
252.01,20.27
252.01,20.51
252.01,21.02
252.02,19.62
252.02,19.58
252.02,21.44
252.02,19.52
252.02,19.84
252.02,21.55
252.03,21.45
252.03,19.89
252.03,19.28
252.03,20.61
252.04,21.34
252.05,22.1
252.06,19.77
252.06,20.05
252.07,19.57
252.07,19.4
252.07,20.92
252.08,20.53
252.11,21.83
252.13,20.77
252.13,21.56
252.13,20.32
252.15,21.72
252.17,20.64
252.17,19.92
252.17,21.94
252.17,20.54
252.19,21.03
252.22,20.52
252.22,20.37
252.25,21.02
252.27,19.08
252.27,19.61
252.29,21.59
252.31,20.25
252.32,21.44
252.33,22.45
252.35,21.97
252.36,21.47
252.4,21.81
252.43,21.67
252.48,21.53
252.48,21.16
252.49,21.27
252.51,21.44
252.54,21.27
252.57,20.95
252.57,21.33
252.6,21.69
252.64,21.25
252.64,21.51
252.67,20.65
252.67,21.25
252.72,20.66
252.79,21.04
252.84,21.08
252.86,20.97
252.87,21.58
252.9,21.99
252.92,21.81
252.94,22.29
252.96,21.47
252.97,21.18
253.03,21.05
253.06,21.08
253.06,21.32
253.08,21.31
253.09,21.24
253.11,21.28
253.12,20.57
253.13,21.3
253.14,20.78
253.25,21.33
253.25,21.67
253.29,21.29
253.3,21.14
253.35,20.72
253.37,21.44
253.37,20.79
253.39,20.72
253.42,21.03
253.45,21.15
253.46,20.55
253.49,21.1
253.53,21.44
253.54,20.43
253.54,21.25
253.6,20.7
253.62,20.39
253.64,20.96
253.65,20.78
253.68,20.95
253.71,20.85
253.74,19.84
253.79,20.41
253.82,20.54
253.83,20.33
253.85,20.61
253.91,21.04
253.96,20.49
253.98,20.82
254.01,20.21
254.02,20.35
254.03,20.16
254.03,20.12
254.04,19.91
254.04,20.05
254.05,19.81
254.06,20.29
254.07,19.59
254.11,19.2
254.2,19.26
254.21,19.74
254.21,19.25
254.26,19.78
268.93,19.84
269.42,20.81
269.87,20.59
269.97,21.4
270.26,20.17
271.13,21.03
272.23,21.13
273.04,20.04
273.14,21.1
273.82,20.6
274.16,21.24
274.48,21.14
274.97,21.01
275.13,20.96
275.13,21.81
275.13,21.34
275.14,20.82
275.41,21.18
276.36,20.75
277.01,21.33
279.13,21.12
279.23,20.49
279.32,20.5
279.48,20.96
280.86,21.02
282.86,21.81
284.69,21.41
284.69,21.78
284.69,20.95
286.84,20.71
288.45,21.35
290.06,21.05
290.07,21.87
290.48,21.31
291.15,21.75
291.28,21
291.66,20.1
292.28,21.23
292.28,21.74
293.23,21.71
293.23,21.53
293.43,21.78
293.54,22.07
293.8,21.6
294.09,21.94
294.55,21.1
294.58,21.39
294.93,19.43
295.62,21.48
295.99,21.66
296.25,21.37
296.3,21.37
296.47,20.3
296.51,21.47
296.73,21.33
296.9,21.25
296.92,21.91
297.38,22.11
297.39,21.56
297.62,22.04
298.06,21.19
298.2,21.64
298.58,21.03
298.79,20.29
298.8,21.45
298.87,22
298.96,22.39
298.98,21.02
299.24,21.36
299.28,21.12
299.5,22.13
299.53,20.88
299.53,20.63
299.64,21.82
299.81,21.51
299.97,22.17
300.13,21.76
300.65,21.59
300.74,21.71
301.44,22.13
301.66,22.32
301.68,22.41
301.87,22.6
302.45,22.49
302.88,22.02
303.36,22.15
303.52,22.41
303.65,21.58
303.95,22.81
304.17,22.48
304.34,22.05
304.63,22.29
304.8,21.88
304.97,21.6
305.14,22.54
305.31,22.36
305.46,22.08
305.65,22.56
305.85,22.35
305.99,22.14
306.16,22.16
306.45,22.16
306.84,22.76
306.99,21.99
307.38,22.01
307.46,22.17
307.79,22.53
308.08,22.21
308.23,22.83
308.39,22.33
309.42,21.81
309.58,21.24
309.79,21.79
309.88,21.79
310.08,22.05
310.34,22.2
311.19,22.01
311.59,22.54
311.67,22.44
311.8,22.09
311.93,21.68
312.14,21.9
312.37,22.22
312.37,22.22
312.58,21.72
312.71,21.71
312.73,21.69
312.83,22.63
312.83,21.96
313.06,21.84
313.06,21.86
313.56,21.75
313.68,22.17
313.71,22.21
313.72,21.82
313.84,21.65
313.84,22.06
313.85,22.43
313.98,22.02
313.98,22.03
313.98,22.17
